"","year_data","country","name","CD_inc","UC_inc","CD_change_inc","UC_change_inc","CD_prev","UC_prev","CD_change_prev","UC_change_prev","stage","status","decade","CD_inc_impute","UC_inc_impute","CD_prev_impute","UC_prev_impute","CD_change_inc_impute","UC_change_inc_impute","CD_change_prev_impute","UC_change_prev_impute","CD_inc_ind","UC_inc_ind","CD_prev_ind","UC_prev_ind","CD_change_inc_ind","UC_change_inc_ind","CD_change_prev_ind","UC_change_prev_ind"
"89_Austria_Styria_2006",2006,"Austria","Styria",7.2,5.3,-0.899999999999999,-0.8,NA,NA,NA,NA,"stage3","labelled","2000-2009",7.2,5.3,0,0,-0.899999999999999,-0.8,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"90_Austria_Styria_2007",2007,"Austria","Styria",6.6,4.9,-0.600000000000001,-0.399999999999999,NA,NA,NA,NA,"stage3","labelled","2000-2009",6.6,4.9,0,0,-0.600000000000001,-0.399999999999999,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"91_Bahrain_Bahrain_1995",1995,"Bahrain","Bahrain",5.5,NA,NA,NA,NA,NA,NA,NA,"unclassified","unlabelled","1990-1999",5.5,0,0,0,-0.0875,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"99_Bahrain_Bahrain_2003",2003,"Bahrain","Bahrain",4.8,NA,-0.0875,NA,NA,NA,NA,NA,"unclassified","unlabelled","2000-2009",4.8,0,0,0,-0.0875,0,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"101_Bahrain_Bahrain_2005",2005,"Bahrain","Bahrain",6,NA,0.6,NA,NA,NA,NA,NA,"unclassified","unlabelled","2000-2009",6,0,0,0,0.6,0,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"109_Bahrain_Bahrain_2013",2013,"Bahrain","Bahrain",8,NA,0.25,NA,NA,NA,NA,NA,"unclassified","unlabelled","2010-2019",8,0,0,0,0.25,0,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"110_Barbados_Barbados_1982",1982,"Barbados","Barbados",0.314949222311633,1.18105958366862,NA,NA,NA,NA,NA,NA,"unclassified","unlabelled","1980-1989",0.314949222311633,1.18105958366862,16.7,44.3,0.0455103725381074,0.10478876526764,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"115_Barbados_Barbados_1987",1987,"Barbados","Barbados",0.54250108500217,1.70500341000682,0.0455103725381074,0.10478876526764,NA,NA,NA,NA,"unclassified","unlabelled","1980-1989",0.54250108500217,1.70500341000682,16.7,44.3,0.0455103725381074,0.10478876526764,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"120_Barbados_Barbados_1992",1992,"Barbados","Barbados",1.36934508028546,2.28224180047577,0.165368799056658,0.11544767809379,NA,NA,NA,NA,"unclassified","unlabelled","1990-1999",1.36934508028546,2.28224180047577,16.7,44.3,0.165368799056658,0.11544767809379,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"125_Barbados_Barbados_1997",1997,"Barbados","Barbados",0.67115395227648,2.16260717955755,-0.139638225601796,-0.023926924183644,NA,NA,NA,NA,"unclassified","unlabelled","1990-1999",0.67115395227648,2.16260717955755,16.7,44.3,-0.139638225601796,-0.023926924183644,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
