"country","decade","rate_min","rate_max","percentile.0.","percentile.25.","percentile.50.","percentile.75.","percentile.100.","median"
"Hong Kong","2000-2009",0.281402396985618,8,0.2814024,0.56537199,0.77204904,1.2475,8,1.13494660260276
"Hong Kong","2010-2019",1.20362883150619,1.75,1.20362883,1.45945946,1.51351351,1.66,1.75,1.54560810810811
"Hungary","1970-1979",1.6,1.66,1.6,1.615,1.63,1.645,1.66,1.63
"Hungary","1980-1989",3.2,6.37,3.2,3.28,5.13454605,6.3,6.37,5.13454604795852
"Hungary","1990-1999",8.6,11.75,8.6,8.615,10.16,11.7125,11.75,10.1675
"Hungary","2000-2009",9.62963,14.9,9.62963,10.4,11.55556,13.62963,14.9,11.97778
"Hungary","2010-2019",9.407407,21.7,9.407407,10.4074075,11.18790637,11.975,21.7,11.2783771221034
"Iceland","1950-1959",2,7.7106947335955,2,2.21968704,3.22037509,3.68518755,7.71069473,3.23518754717805
"Iceland","1960-1969",4.6,5.60056785504454,4.6,4.60473689,4.64131035,4.69091828,5.60056786,4.63183656461671
"Iceland","1970-1979",5.23899335124117,10.4421719717701,5.23899335,5.4,7.4,9.6,10.44217197,7.4
"Iceland","1980-1989",10.8,12.7,10.8,10.9,11.73943451,12.7,12.7,11.739434508942
"Iceland","1990-1999",13.7231222847822,25.1,13.72312228,15.86140113,18.03992543,18.55144689,25.1,18.0399254349749
"Iceland","2000-2009",20.6620976581789,22.4653457305364,20.66209766,21.11290968,21.56372169,22.01453371,22.46534573,21.5637216943576
"Iceland","2010-2019",23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1
"India","2010-2019",5.40153570985689,5.40153570985689,5.40153571,5.40153571,5.40153571,5.40153571,5.40153571,5.40153570985689
"Indonesia","2010-2019",0.438554174597188,0.55,0.43855417,0.49337345,0.54819272,0.54909636,0.55,0.493825266860215
"Iran","2000-2009",2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82
"Iran","2010-2019",2.86,5.32,2.86,4.4275,4.96640465,5.06710698,5.32,4.9664046539439
"Ireland","1990-1999",14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
"Ireland","2010-2019",8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4
"Israel","1960-1969",0.8,2,0.8,1.2,1.6,1.8,2,1.6
"Israel","1970-1979",0.8,7.7,0.8,2.95,4.71708993,5.7,7.7,4.475
"Israel","1980-1989",3.52,5.8,3.52,4.295,5.4,5.65,5.8,5.15
"Israel","1990-1999",3.6,9.1,3.6,4.975,6.35,7.725,9.1,6.35
