"country","decade","rate_min","rate_max","percentile.0.","percentile.25.","percentile.50.","percentile.75.","percentile.100.","median"
"Croatia","1970-1979",0.347826086956522,3.65217391304348,0.3478261,0.7826087,1.391304,2.434783,3.652174,1.39130434782609
"Croatia","1980-1989",4.34782608695652,19.304347826087,4.347826,6.26087,8.3,13.13043,19.30435,8.3
"Croatia","1990-1999",0,34.2608695652174,0,2.5,16.595,24.2488,34.26087,16.595
"Croatia","2000-2009",4.1,83.7,4.1,4.5,6.4,15.7275,83.7,7.25
"Croatia","2010-2019",12.2,109.725989819866,12.2,13.1,14,61.86299,109.726,14
"Czech Republic","2000-2009",139.8,155.3,139.8,143.55,147.3,151.3,155.3,147.3
"Czech Republic","2010-2019",152.6,205.9,152.6,171.65,186.45,196.675,205.9,186.45
"Denmark","1970-1979",8.84593262256656,34,8.845933,12.003,15.16007,24.58003,34,15.160066665221
"Denmark","1980-1989",22.7108834299521,61.7500285554898,22.71088,30.30022,42.35054,54,61.75003,40.4555897736716
"Denmark","1990-1999",65.3943491268532,133.639722566041,65.39435,81.11359,93.04719,111.71,133.6397,93.3256957046526
"Denmark","2000-2009",131.4199,214.081925828964,131.4199,153.3503,166.5163,181.257,214.0819,166.516311565022
"Denmark","2010-2019",189.7321,294.117084607426,189.7321,237.3859,249.9933,281.9912,294.1171,248.991158805225
"England","1960-1969",9,26.5,9,13.375,17.75,22.125,26.5,17.75
"England","1970-1979",34.9893618882413,35,34.98936,34.99202,34.99468,34.99734,35,34.9946809441206
"England","1980-1989",47,85,47,59.84409,72.68817,78.84409,85,72.6881720430108
"England","1990-1999",147.358959056313,147.358959056313,147.359,147.359,147.359,147.359,147.359,147.358959056313
"England","2000-2009",130.182831995023,130.182831995023,130.1828,130.1828,130.1828,130.1828,130.1828,130.182831995023
"Faroe Islands","1960-1969",0,0,0,0,0,0,0,0
"Faroe Islands","1970-1979",3.532009,14.12804,3.532009,6.181017,8.830025,11.47903,14.12804,8.8300245
"Faroe Islands","1980-1989",14.12804,42.38411,14.12804,22.96402,31.8,37.09206,42.38411,31.8
"Faroe Islands","1990-1999",52.98013,84.76821,52.98013,60.92715,68.87417,76.82119,84.76821,68.87417
"Faroe Islands","2000-2009",95.36424,134.2163,95.36424,105.0773,114.7903,124.5033,134.2163,114.79027
"Faroe Islands","2010-2019",155.4084,233.1126,155.4084,166.8874,206.6225,215.4525,233.1126,206.6225
"Finland","1980-1989",40,40,40,40,40,40,40,40
"Finland","1990-1999",38.3494400981746,129.476584022039,38.34944,61.13123,83.91301,106.6948,129.4766,83.9130120601068
"France","2000-2009",103,128.839598856571,103,109.4599,115.9198,122.3797,128.8396,115.919799428286
"France","2010-2019",153,201.7015625,153,163.5476,174.0952,187.8984,201.7016,174.095203427772
"Germany","1970-1979",30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5
"Germany","1980-1989",30.6757776255431,54.6,30.67578,33.33154,35.98731,45.29366,54.6,35.9873112365201
"Greece","1980-1989",0.4,0.5,0.4,0.425,0.45,0.475,0.5,0.45
"Greece","1990-1999",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
"Hong Kong","1980-1989",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"Hong Kong","1990-1999",0.49,1.97,0.49,0.5,0.74,1.109475,1.97,0.74
"Hong Kong","2000-2009",1.60909574498293,7.62,1.609096,2.464853,2.7,4.55,7.62,3.5662132554318
"Hong Kong","2010-2019",13.08,18.63,13.08,14.4675,15.855,17.2425,18.63,15.855
"Hungary","1990-1999",17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1
"Hungary","2000-2009",52.9,115.3,52.9,68.5,84.1,99.7,115.3,84.1
"Hungary","2010-2019",191.18,236.78,191.18,196.8263,202.4726,219.6263,236.78,202.472604269934
"Iceland","1950-1959",3,3,3,3,3,3,3,3
"Iceland","1960-1969",5,5,5,5,5,5,5,5
"Iceland","1970-1979",10,10,10,10,10,10,10,10
"Iran","2000-2009",4.65723382765158,4.65723382765158,4.657234,4.657234,4.657234,4.657234,4.657234,4.65723382765158
"Israel","1960-1969",5.371552,5.371552,5.371552,5.371552,5.371552,5.371552,5.371552,5.371552
"Israel","1970-1979",7.08,13.5615,7.08,9.477187,11.29468,12.6252,13.5615,11.2946773306948
"Israel","1980-1989",14.0347799390364,30,14.03478,19.47,25.3,25.46021,30,22.4250525
"Israel","1990-1999",45.9,50.6,45.9,47.075,48.25,49.425,50.6,48.25
"Israel","2000-2009",87.474865394396,195.7746,87.47487,116.7,155.2456,166.9014,195.7746,141.3317
"Israel","2010-2019",207.0423,297.48826792127,207.0423,231.338,251.9173,266.1972,297.4883,250.7042
"Italy","1980-1989",16.6153846153846,16.6153846153846,16.61538,16.61538,16.61538,16.61538,16.61538,16.6153846153846
"Italy","1990-1999",39.2727272727273,39.2727272727273,39.27273,39.27273,39.27273,39.27273,39.27273,39.2727272727273
"Italy","2000-2009",15,93.5892857142857,15,17.5,20,56.79464,93.58929,20
"Italy","2010-2019",14,170.52,14,107.96,139.2,153.7,170.52,139.2
"Japan","1970-1979",0.076531157549592,0.444093216244235,0.07653116,0.1889523,0.2625064,0.3349634,0.4440932,0.262506350542697
"Japan","1980-1989",0.570376372525439,4.6066969040095,0.5703764,1.077826,2.32271,3.329739,4.606697,1.90874828359482
"Japan","1990-1999",5.28250846432226,14.2052613375786,5.282508,6.367177,8.959318,11.0396,14.20526,9.47020924609792
"Japan","2000-2009",15.4041389236901,25.0413837803958,15.40414,16.62904,18.34775,21.10546,25.04138,19.3966834495499
"Japan","2010-2019",25.6499124658131,55.161703764798,25.64991,29.10619,31.672,33.24583,55.1617,31.0238488122307
"Kazakhstan","2010-2019",31.1537263318218,31.1537263318218,31.15373,31.15373,31.15373,31.15373,31.15373,31.1537263318218
"Malaysia","2010-2019",1.86,7.36,1.86,2.015,2.17,4.765,7.36,2.17
"Mexico","2000-2009",0.07,0.11,0.07,0.08,0.09,0.1,0.11,0.09
"Mexico","2010-2019",0.17,8.16768656888076,0.17,0.2975,0.3707576,2.343058,8.167687,0.401515256065032
"Netherlands","1980-1989",47.747348316906,47.747348316906,47.74735,47.74735,47.74735,47.74735,47.74735,47.747348316906
"Netherlands","2000-2009",119.8,163.2,119.8,130.65,139.4,152.05,163.2,139.4
"Netherlands","2010-2019",176.055802695873,331,176.0558,214.7919,253.5279,292.264,331,253.527901347937
"New Zealand","2000-2009",155.205348615091,155.205348615091,155.2053,155.2053,155.2053,155.2053,155.2053,155.205348615091
"New Zealand","2010-2019",131.7,250.409917604846,131.7,148.1536,164.6071,207.5085,250.4099,164.607134530194
"Norway","1990-1999",262,262,262,262,262,262,262,262
"Norway","2010-2019",164,270.980400745876,164,164,164,217.4902,270.9804,190.745100186469
"Poland","2010-2019",23.755497983611,56.5252566780873,23.7555,33.82719,38.86056,48.07588,56.52526,40.1872063861561
"Portugal","2000-2009",43,72.6,43,50.4,57.8,65.2,72.6,57.8
"Puerto Rico","2000-2009",11.9410927462269,14.9063305422699,11.94109,12.0012,12.42194,13.34357,14.90633,12.4219421185582
"Puerto Rico","2010-2019",72.7110942479583,72.7110942479583,72.71109,72.71109,72.71109,72.71109,72.71109,72.7110942479583
"Romania","2000-2009",1.17060503827487,1.17060503827487,1.170605,1.170605,1.170605,1.170605,1.170605,1.17060503827487
"Russia","2010-2019",17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8
"San Marino","2010-2019",253.079643859007,253.079643859007,253.0796,253.0796,253.0796,253.0796,253.0796,253.079643859007
"Saudi Arabia","2010-2019",31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5
"Scotland","1960-1969",18.1437125748503,32.5,18.14371,21.73278,25.32186,28.91093,32.5,25.3218562874251
"Scotland","1980-1989",147,147,147,147,147,147,147,147
"Scotland","2000-2009",216,224,216,218,220,222,224,220
"Scotland","2010-2019",232,284.437311220339,232,249,265,274,284.4373,265
"Singapore","1990-1999",3.69923461074363,3.69923461074363,3.699235,3.699235,3.699235,3.699235,3.699235,3.69923461074363
"Slovakia","1990-1999",6.63820690843414,6.63820690843414,6.638207,6.638207,6.638207,6.638207,6.638207,6.63820690843414
"South Korea","2000-2009",2.2,33.2455933780292,2.2,10.80508,11.94915,15.88983,33.24559,11.1626150316046
"South Korea","2010-2019",14.7823311825082,43.3983539508296,14.78233,21.59122,25.77422,31.79342,43.39835,29.1335819406443
"Spain","1970-1979",1.24617838628207,1.24617838628207,1.246178,1.246178,1.246178,1.246178,1.246178,1.24617838628207
"Spain","1980-1989",5.2,21.4,5.2,8.05,14.4,20.2,21.4,14.4
"Spain","1990-1999",13,116.475788093783,13,50.225,87.45,101.9629,116.4758,87.45
"Spain","2000-2009",37.2,102.72,37.2,49.83,64.745,76.9925,102.72,64.745
"Spain","2010-2019",117.41,137.17,117.41,121.48,125.55,131.36,137.17,125.55
"Sri Lanka","2000-2009",1.22222222222222,1.22222222222222,1.222222,1.222222,1.222222,1.222222,1.222222,1.22222222222222
"Sri Lanka","2010-2019",2.33463035019455,2.33463035019455,2.33463,2.33463,2.33463,2.33463,2.33463,2.33463035019455
"Sweden","1960-1969",20.9,27,20.9,23.95,27,27,27,23.95
"Sweden","1970-1979",50,75.2,50,56.3,62.6,68.9,75.2,62.6
"Sweden","1980-1989",146,146,146,146,146,146,146,146
"Sweden","1990-1999",94.1176470588235,94.1176470588235,94.11765,94.11765,94.11765,94.11765,94.11765,94.1176470588235
"Sweden","2000-2009",213.403510300548,213.403510300548,213.4035,213.4035,213.4035,213.4035,213.4035,213.403510300548
"Sweden","2010-2019",76.9230769230769,313,76.92308,194.6702,261,292.9198,313,260.37743880208
"Taiwan","1990-1999",0.188752939711943,0.31,0.1887529,0.1896882,0.235,0.2875,0.31,0.242188234927986
"Taiwan","2000-2009",0.39,1.87,0.39,0.6175,1.02,1.3875,1.87,1.07
"Taiwan","2010-2019",2.02,6.12436816689711,2.02,2.33,3.22,4.4,6.124368,3.22
"Turkey","2010-2019",12.5353177603566,12.5353177603566,12.53532,12.53532,12.53532,12.53532,12.53532,12.5353177603566
"United Kingdom","1990-1999",57.2,114,57.2,71.4,85.6,99.8,114,85.6
"United Kingdom","2000-2009",157.287706280529,319.1,157.2877,217.8,248.8,278.7,319.1,248.8
"United Kingdom","2010-2019",213.5231,399.3,213.5231,238.4341,276,353.8,399.3,292.044007672851
"United States","1960-1969",28,28,28,28,28,28,28,28
"United States","1970-1979",106.575963718821,106.575963718821,106.576,106.576,106.576,106.576,106.576,106.575963718821
"United States","1980-1989",89.1246223072408,89.1246223072408,89.12462,89.12462,89.12462,89.12462,89.12462,89.1246223072408
"United States","1990-1999",131.5,136.792452830189,131.5,132.8231,134.1462,135.4693,136.7925,134.146226415095
"United States","2000-2009",172.1,221,172.1,177.4194,197.1934,214.9622,221,206.077827492916
"United States","2010-2019",223.70763494676,368.19198714049,223.7076,238.9554,272.7217,286.0199,368.192,260.543438762007
"Wales","1970-1979",9.1,106.2,9.1,35.29222,39.6,53.48264,106.2,39.6
